title;description;url;image
ChatGPT OpenAI Chatbot;A chatbot built that can discuss anything with a human and is built using the OpenAI API.;https://github.com/bualfani/chatbot_gpt_gui;10.png
Trading Bot;A Algorithmic trading bot built on python that trades both crypto and stocks on the robin_stock library.;https://github.com/bualfani/trading-bot;15.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/bualfani/my-todo-app;1.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/bualfani/pdf_template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/bualfani/Excel-invoice-to-PDF;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/bualfani/emai-news-api;5.png
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://github.com/bualfani/download_cleaner;7.png
Student Management System SQL;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/bualfani/student_management_sysem_sql;17.png
Student Management System MySQL;A desktop PyQt6 GUI app for managing complex university student data with an MySQL database backend.;https://github.com/bualfani/student_management_system_mysql;18.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/bualfani/webcame_detection;11.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/bualfani/scraping_tour;8.png
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://github.com/bualfani/word_count;12.png
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://github.com/bualfani/internet_speed_analysis;13.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any zip code.;https://github.com/bualfani/weather-forcast-data-app;16.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/bualfani/weather-api;6.png

